epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,tf_prob,seq_len,rollout_k,image_size,hid_ch,use_rgb,ss_end,ss_feedback
1,0.9386105609662605,0.5360704958438873,0.11982504797704292,0.1974706439410939,0.21746855183984293,0.5148380013073192,1.0,6,2,256,48,False,0.3,prob
2,0.32830379542076227,0.18357894876424005,0.5178409805803588,0.5968325278338265,0.574133145086693,0.6256789810517255,1.0,6,2,256,48,False,0.3,prob
3,0.13635482435876672,0.09056266660199445,0.8050209771503102,0.81587013426949,0.7643588961976947,0.7533943197306465,1.0,6,2,256,48,False,0.3,prob
4,0.0936125869100744,0.07090393979759778,0.8607003345633998,0.863759647397434,0.8107160275632684,0.8081921584465924,1.0,6,2,256,48,False,0.3,prob
5,0.07663929654341756,0.06360752705265493,0.8817298629067161,0.8626854840446921,0.835489506071264,0.8009636191760793,1.0,6,2,256,48,False,0.3,prob
6,0.07002622239065892,0.06270115428111132,0.8935399886333582,0.86020687047173,0.8457779523098108,0.7969318663372713,0.965,6,2,256,48,False,0.3,prob
7,0.0670403628186746,0.05463352361146141,0.9040191643165819,0.9079205323668087,0.8635349616859899,0.8639208884800181,0.93,6,2,256,48,False,0.3,prob
8,0.06530923204440059,0.055048078298568726,0.9048506400801919,0.9163772323552299,0.8640448559414257,0.8722586211036233,0.895,6,2,256,48,False,0.3,prob
9,0.059816934619889114,0.05239462962045389,0.9113836974808665,0.8939621132962844,0.8699700200196469,0.8385678144062266,0.8600000000000001,6,2,256,48,False,0.3,prob
10,0.060520161733482826,0.053228020668029785,0.9136523134780653,0.8893260359764099,0.8746186223897067,0.851559042930603,0.825,6,2,256,48,False,0.3,prob
11,0.06377827788166927,0.04886847559143515,0.9130599155570521,0.9137915758525624,0.8704562241380865,0.8729388117790222,0.7899999999999999,6,2,256,48,False,0.3,prob
12,0.061088749574440895,0.05044653091360541,0.9140865820826907,0.9239596233648413,0.8764710426330566,0.8852135819547317,0.755,6,2,256,48,False,0.3,prob
13,0.06091039921298171,0.0491626703125589,0.9210174246267839,0.902590390513925,0.8818883913936038,0.8592462153995738,0.72,6,2,256,48,False,0.3,prob
14,0.059569668927879044,0.05027542811106233,0.9183560013771057,0.8970129034098457,0.8793727972290732,0.8636285908081952,0.685,6,2,256,48,False,0.3,prob
15,0.06068952889605002,0.05042352308245266,0.9195367477156899,0.9292435575934017,0.8845739924546444,0.8916551716187421,0.65,6,2,256,48,False,0.3,prob
16,0.06180011114162026,0.045535850393421506,0.9223212852622523,0.9146890570135677,0.8831018083023302,0.8670222303446602,0.615,6,2,256,48,False,0.3,prob
17,0.060662821725462425,0.04811560976154664,0.9206625259283817,0.9242308946216807,0.8856692205775868,0.8814631279777078,0.5800000000000001,6,2,256,48,False,0.3,prob
18,0.06419097270929452,0.04765883679775631,0.9187261895699934,0.897606769028832,0.8789752252174147,0.8460026734015521,0.5449999999999999,6,2,256,48,False,0.3,prob
19,0.06615354549704176,0.04965100678450921,0.9188625649972395,0.9308438230963314,0.8836299054550402,0.8968686531571781,0.51,6,2,256,48,False,0.3,prob
20,0.06530549783598293,0.04948202958878349,0.9200636888995315,0.9017869900254643,0.8828173568754485,0.8629564748090857,0.475,6,2,256,48,False,0.3,prob
