epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,tf_prob,seq_len,rollout_k,image_size,hid_ch,use_rgb,ss_end,ss_feedback
1,0.8326730773304448,0.47942378941704245,0.28434276580810547,0.4363729813519646,0.33877633195934875,0.6888545190586763,1.0,6,2,256,48,False,0.3,prob
2,0.27203011715954,0.1350706579054103,0.7171196982716069,0.8647332226528841,0.7234774918267222,0.8400479239576003,1.0,6,2,256,48,False,0.3,prob
3,0.10100061604470918,0.07602336389176986,0.901356886733662,0.9208116180756513,0.8777571483091875,0.8915953145307653,1.0,6,2,256,48,False,0.3,prob
4,0.07250935731060577,0.06123302920776255,0.9295060652675051,0.9311823879971224,0.9087568485375607,0.9100319287356209,1.0,6,2,256,48,False,0.3,prob
5,0.06374957999496748,0.05343191369491465,0.9373044534163042,0.9436537237728343,0.9169948859648271,0.9189904226976282,1.0,6,2,256,48,False,0.3,prob
6,0.05859556139418573,0.05224679410457611,0.9435130574486472,0.9527831252883462,0.9218394882751234,0.9374443993848913,0.965,6,2,256,48,False,0.3,prob
7,0.06160364119392453,0.04959140498848522,0.946934952880397,0.9385090505375582,0.9258816061597882,0.9263504603329826,0.93,6,2,256,48,False,0.3,prob
8,0.061154175719076935,0.05367612466216087,0.9452741525389932,0.9594141840934753,0.9254176454110579,0.9435887301669401,0.895,6,2,256,48,False,0.3,prob
9,0.0546043888863289,0.04440136911237941,0.9483821771361611,0.9479550333584056,0.9259843862417972,0.9200265723116258,0.8600000000000001,6,2,256,48,False,0.3,prob
10,0.05729208694714488,0.046077254063942856,0.9495789336435723,0.9586350391892826,0.9297851432453502,0.9392397999763489,0.825,6,2,256,48,False,0.3,prob
11,0.056757249276746406,0.041755013167858124,0.9508328889355515,0.9543406156932607,0.9297299782435099,0.9350887572064119,0.7899999999999999,6,2,256,48,False,0.3,prob
12,0.05901528674770485,0.046441852389013064,0.9506405754522844,0.9605724250569063,0.9323512297688108,0.9442776511697208,0.755,6,2,256,48,False,0.3,prob
13,0.05908825773407112,0.044490118237102735,0.9522895361437942,0.9601068146088544,0.9331049052151766,0.9427300025435055,0.72,6,2,256,48,False,0.3,prob
14,0.05751846267869978,0.04363991166738903,0.9523886622804584,0.9560705633724437,0.9331287795847113,0.9384198399151072,0.685,6,2,256,48,False,0.3,prob
15,0.05869210251804554,0.047532926587497484,0.9522464654662393,0.959860226687263,0.9349215843460776,0.9479911713039174,0.65,6,2,256,48,False,0.3,prob
16,0.060900909318165344,0.04411309080965379,0.9518257289221792,0.9588755754863515,0.9341675368222323,0.9453821392620311,0.615,6,2,256,48,False,0.3,prob
17,0.05842097018930045,0.04291338868000928,0.9524025718371073,0.9565021255437065,0.9354738123489149,0.940866189844468,0.5800000000000001,6,2,256,48,False,0.3,prob
18,0.0572695778400609,0.047447381431565565,0.9520311409776862,0.9608471323462093,0.9341807311231439,0.9491595485631157,0.5449999999999999,6,2,256,48,False,0.3,prob
19,0.06161837979699626,0.04305441107820062,0.9519231590357694,0.959257606197806,0.934492436322299,0.9471396803855896,0.51,6,2,256,48,False,0.3,prob
20,0.061917198821902275,0.04425831007606843,0.9523979389306271,0.959605988334207,0.9347975344368906,0.9449030511519488,0.475,6,2,256,48,False,0.3,prob
